id	title	description	price	condition	link	availability	image_link
1	XTRIKE ME MP-005 GAMING MOUSE PAD MEDIUM 320x270x2MM	XTRIKE ME MP-005 Gaming Mouse Pad features a smooth low-friction surface for precise mouse tracking and responsive gaming performance. Its anti-slip rubber base keeps the pad firmly in place during intense gameplay or work sessions. Lightweight, portable, and stylish, the 320x270x2mm design adds comfort and a modern look to any gaming or office setup.	799 PKR	new	https://multantech.store/products/xtrike-me-mp-005-gaming-mouse-pad.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779272616/Create_Image_same_as_uploaded_202605131259_eg7fku.jpg
2	XIAOMI 120W EU PLUG QC3.0 FAST QUICK WALL CHARGER WITH CABLE	Xiaomi 120W Fast Charger delivers ultra-fast charging with smart power allocation, supporting USB Power Delivery (PD) and Qualcomm Quick Charge (QC) protocols for maximum efficiency. Compatible with flagship Xiaomi and Redmi devices, it ensures safe, stable, and high-speed charging for daily use. Its compact design makes it perfect for travel, gaming, and heavy smartphone users needing reliable rapid charging performance.	1299 PKR	new	https://multantech.store/products/xiaomi-120w-fast-charger.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779273316/A_professional_8K_HDR__Hero__202605131519_iyvjlk.jpg
3	SAMSUNG TYPE-C TO TYPE-C ORIGINAL CABLE	Samsung Original Type-C to Type-C Cable delivers reliable fast charging and stable data transmission for all compatible USB Type-C smartphones and devices. Featuring a durable 100CM black design, it supports up to 2A fast charging for efficient everyday use. Its original Samsung build quality ensures safe performance, strong connectivity, and long-lasting durability.	499 PKR	new	https://multantech.store/products/samsung-type-c-to-type-c-cable.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779276318/A_professional_8K_HDR__Hero__202605151521_1_tjas1r.jpg
4	Samsung 45W EU PIN PD Super Fast Charger	Samsung 45W PD Super Fast Charger delivers ultra-fast and efficient charging with advanced PD and PPS technology for compatible Samsung Galaxy and USB Type-C devices. Built with compact GaN technology, it offers safer, cooler, and more power-efficient performance during charging. Perfect for travel, office, or daily use, this original charger supports rapid charging speeds up to 45W for smartphones, tablets, and other modern devices.	799 PKR	new	https://multantech.store/products/samsung-45w-super-fast-charger.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779276537/0bc3e2d2aa1776508857_sdp4ap.jpg
5	SAMSUNG 25W US PIN ORIGINAL PD ADOPTER USB-C	Samsung 25W Super Fast USB-C Charger provides fast, safe, and efficient charging for Samsung Galaxy phones, tablets, and other USB Type-C devices. Supporting Power Delivery 3.0 technology, it delivers up to 25W fast charging for compatible devices while maintaining stable performance. Its compact lightweight design makes it ideal for travel, office, and everyday charging needs.	799 PKR	new	https://multantech.store/products/samsung-25w-usb-c-adapter.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779276864/A_professional_8K_HDR_studio_202605151707_xsymlv.jpg
6	REMAX RC-C189 65W 4 IN 1 MULTI FUNCTIONAL DATA CABLE BLACK	Remax RC-C189 65W Fast Charging Cable features a versatile 2-in-2 interchangeable design supporting USB-C and Lightning connections for Android and iPhone devices. Built with a durable braided flat cable and aluminum connectors, it ensures fast charging, stable data transfer, and long-lasting performance. Supporting up to 65W power output, this premium 100CM cable is perfect for gaming, travel, office, and everyday charging needs.	799 PKR	new	https://multantech.store/products/remax-rc-c189-65w-cable.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779277250/c7413799011776412794_o1ht5x.jpg
7	Razer mouse pad small with box 245x320x4mm	Razer Goliathus Control Edition Gaming Mouse Pad features a textured control surface for precise tracking, smooth glide, and enhanced gaming accuracy with all mouse sensor types. Its anti-fraying stitched edges and durable 4mm thick design provide long-lasting comfort and stability during intense gameplay sessions. Measuring 245x320mm, this premium gaming mouse pad delivers excellent control, grip, and professional-level performance for gamers and daily users alike.	599 PKR	new	https://multantech.store/products/razer-mouse-pad-small.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779277587/6c853af4061774944046_hxh5ez.jpg
8	LOGITECH MOUSE PAD BIG 250x290x2mm	Premium Gaming Mouse Pad features a smooth cloth surface for precise mouse movement, comfortable usage, and easy cleaning during daily gaming or office work. Its non-slip rubber base keeps the pad securely in place while vibrant full-color printing adds a stylish look to your setup. Measuring 250x290x2mm, this durable and washable mouse pad is designed for long-lasting performance without fading or discoloration.	499 PKR	new	https://multantech.store/products/logitech-mouse-pad-big.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779278187/6601054f4e1774943891_woejco.jpg
9	XTRIKE ME GH-509 WIRED STEREO GAMING HEADSET WITH MICROPHONE AND RGB BACKLIGHT BLACK	Xtrike Me GH-509 Over-Ear Gaming Headset – Built for gamers, streamers, and everyday music lovers who demand clear sound and comfort. Featuring a 3.5mm wired connection and dynamic RGB lighting, it delivers universal compatibility and rich stereo sound.	2999 PKR	new	https://multantech.store/products/xtrike-me-gh-509-gaming-headset.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784653010/2c473fd39341774349668_e7anbm.jpg
10	GIONEE TYPE C ORIGINAL WIRED HAND FREE	GIONEE Type-C Wired Handsfree delivers clear high-definition sound with deep bass and crisp audio for music, calls, videos, and gaming. Designed for modern USB Type-C devices, it provides stable connectivity, a built-in microphone, and convenient in-line controls for easy hands-free use. Its lightweight ergonomic design with soft silicone earbuds ensures a secure and comfortable fit during long listening sessions.	559 PKR	new	https://multantech.store/products/gionee-type-c-wired-handsfree.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779278506/7543bbf8f31775716898_g6d7l6.jpg
